Time [hours],Lum [cps],Line #,Normalized Lum Data [cps/gFW]
22,4523,Tak1,15596.551724137933
22,3395,Tak1,16166.666666666668
22,4518,Tak2,24824.175824175825
22,2964,Tak2,12350
22,2733,Tak2,13076.555023923445
22,4770,Tak2,22289.719626168226
22,9999,#18,59517.85714285714
22,6010,#18,207958.47750865054
22,1703,#18,295659.7222222222
22,7233,#18,210261.62790697673
22,11241,#27,1572167.8321678322
22,74736,#27,1091036.496350365
22,48260,#8,152721.51898734178
22,51712,#8,265189.74358974356
22,37099,#8,188319.79695431472
22,15944,#8,57146.95340501791
24,4232,Tak1,16727.272727272728
24,4346,Tak1,13840.764331210192
24,4562,Tak1,15731.034482758621
24,3441,Tak1,16385.714285714286
24,4561,Tak2,25060.43956043956
24,3024,Tak2,12600
24,2799,Tak2,13392.344497607655
24,4887,Tak2,22836.448598130843
24,11155,#18,66398.80952380953
24,6901,#18,238788.92733564015
24,2207,#18,383159.7222222222
24,8812,#18,256162.7906976744
24,12155,#27,1700000
24,78964,#27,1152759.1240875912
24,50444,#8,159632.91139240508
24,55586,#8,285056.41025641025
24,39616,#8,201096.4467005076
24,15987,#8,57301.07527
26,2849,Tak1,11260.869565217392
26,2795,Tak1,8901.273885350318
26,3019,Tak1,10410.344827586208
26,2353,Tak1,11204.761904761905
26,3067,Tak2,16851.648351648353
26,2043,Tak2,8512.5
26,1902,Tak2,9100.478468899522
26,3195,Tak2,14929.906542056075
26,9918,#18,59035.71428571428
26,7704,#18,266574.3944636678
26,1733,#18,300868.05555555556
26,11064,#18,321627.9069767442
26,11416,#27,1596643.3566433566
26,72479,#27,1058087.591240876
26,43155,#8,136566.45569620252
26,47697,#8,244600
26,36094,#8,183218.27411167513
26,12248,#8,43899.64157706093
28,3344,Tak1,13217.391304347826
28,3263,Tak1,10391.71974522293
28,3490,Tak1,12034.48275862069
28,2595,Tak1,12357.142857142857
28,3580,Tak2,19670.32967032967
28,2322,Tak2,9675
28,2124,Tak2,10162.679425837321
28,3508,Tak2,16392.52336448598
28,8074,#18,48059.52380952381
28,6596,#18,228235.29411764708
28,2003,#18,347743.05555555556
28,9788,#18,284534.88372093026
28,9286,#27,1298741.2587412586
28,47026,#27,686510.9489051094
28,32119,#8,101642.40506329114
28,32805,#8,168230.76923076922
28,29332,#8,148893.40101522842
28,10192,#8,36530.465949820784
30,0,Tak1,0
30,0,Tak1,0
30,0,Tak1,0
30,0,Tak1,0
30,0,Tak2,0
30,0,Tak2,0
30,0,Tak2,0
30,0,Tak2,0
30,6,#18,35.714285714285715
30,255,#18,8823.529411764706
30,111,#18,19270.833333333332
30,1452,#18,42209.30233
30,3354,#27,469090.90909090906
30,21930,#27,320145.98540145985
30,2485,#8,7863.9240506329115
30,5029,#8,25789.74358974359
30,4049,#8,20553.299492385784
30,18,#8,64.51612903225806
32,2734,Tak1,10806.324110671936
32,2702,Tak1,8605.095541401273
32,2989,Tak1,10306.89655172414
32,1846,Tak1,8790.47619
32,3051,Tak2,16763.736263736264
32,1290,Tak2,5375
32,1196,Tak2,5722.488038277512
32,2764,Tak2,12915.88785046729
32,4530,#18,26964.285714285714
32,3841,#18,132906.57439446368
32,676,#18,117361.11111111111
32,6021,#18,175029.06976744186
32,5677,#27,793986.014
32,33607,#27,490613.13868613134
32,22948,#8,72620.25316455695
32,21108,#8,108246.15384615384
32,20029,#8,101670.05076142131
32,6694,#8,23992.831541218635
34,0,Tak1,0
34,0,Tak1,0
34,0,Tak1,0
34,0,Tak1,0
34,0,Tak2,0
34,0,Tak2,0
34,0,Tak2,0
34,0,Tak2,0
34,0,#18,0
34,0,#18,0
34,0,#18,0
34,17,#18,494.1860465116279
34,1071,#27,149790.20979020977
34,18159,#27,265094.8905109489
34,52,#8,164.55696202531647
34,857,#8,4394.871794871795
34,572,#8,2903.5532994923856
34,0,#8,0
36,2690,Tak1,10632.411067193676
36,2746,Tak1,8745.222929936306
36,2998,Tak1,10337.931034482759
36,2178,Tak1,10371.428571428572
36,3006,Tak2,16516.483516483517
36,1951,Tak2,8129.166666666667
36,1691,Tak2,8090.909090909091
36,2820,Tak2,13177.570093457944
36,4319,#18,25708.333333333332
36,3453,#18,119480.9688581315
36,1070,#18,185763.88888888888
36,4929,#18,143284.88372093023
36,5301,#27,741398.6013986014
36,20019,#27,292248.1751824817
36,16040,#8,50759.49367088608
36,13016,#8,66748.71794871795
36,12575,#8,63832.48730964467
36,5943,#8,21301.075268817203
38,28,Tak1,110.67193675889328
38,2,Tak1,6.369426751592357
38,51,Tak1,175.86206896551727
38,29,Tak1,138.0952380952381
38,122,Tak2,670.3296703296703
38,2,Tak2,8.333333333333334
38,56,Tak2,267.9425837320574
38,116,Tak2,542.0560747663551
38,256,#18,1523.8095238095236
38,1162,#18,40207.61246
38,290,#18,50347.22222222222
38,2055,#18,59738.37209302326
38,2933,#27,410209.7902097902
38,10925,#27,159489.05109489048
38,5940,#8,18797.46835443038
38,5080,#8,26051.28205128205
38,4673,#8,23720.812182741116
38,400,#8,1433.6917562724013
40,2015,Tak1,7964.426877470356
40,2082,Tak1,6630.573248407643
40,2287,Tak1,7886.206896551725
40,1660,Tak1,7904.7619047619055
40,2236,Tak2,12285.714285714286
40,1481,Tak2,6170.833333333334
40,1279,Tak2,6119.617224880383
40,2124,Tak2,9925.233644859813
40,2813,#18,16744.04761904762
40,2293,#18,79342.56055363322
40,762,#18,132291.66666666666
40,3099,#18,90087.20930232559
40,4134,#27,578181.8181818181
40,11333,#27,165445.25547445254
40,10290,#8,32563.291139240508
40,7832,#8,40164.10256410256
40,7289,#8,37000
40,4391,#8,15738.351254480285
42,1951,Tak1,7711.462450592885
42,2038,Tak1,6490.445859872611
42,2363,Tak1,8148.2758620689665
42,1571,Tak1,7480.952380952382
42,2320,Tak2,12747.252747252747
42,1230,Tak2,5125
42,1066,Tak2,5100.478468899521
42,2013,Tak2,9406.542056074766
42,2110,#18,12559.52380952381
42,1650,#18,57093.42560553634
42,438,#18,76041.66666666666
42,2233,#18,64912.79069767442
42,3369,#27,471188.8111888112
42,8768,#27,127999.99999999999
42,8886,#8,28120.25316455696
42,6883,#8,35297.4359
42,6205,#8,31497.461928934008
42,3860,#8,13835.125448028673
44,2718,Tak1,10743.08300395257
44,2852,Tak1,9082.802547770701
44,3082,Tak1,10627.586206896553
44,2326,Tak1,11076.190476190477
44,3150,Tak2,17307.69230769231
44,1986,Tak2,8275
44,1759,Tak2,8416.267942583732
44,2792,Tak2,13046.728971962617
44,2552,#18,15190.476190476189
44,1920,#18,66435.98615916955
44,660,#18,114583.33333333333
44,2399,#18,69738.37209302325
44,3477,#27,486293.70629370626
44,7521,#27,109795.6204379562
44,8770,#8,27753.164556962027
44,7035,#8,36076.92307692308
44,6323,#8,32096.44670050761
44,4464,#8,15999.999999999998
46,2893,Tak1,11434.782608695652
46,3027,Tak1,9640.127388535031
46,3247,Tak1,11196.551724137931
46,2464,Tak1,11733.333333333334
46,3368,Tak2,18505.494505494506
46,2077,Tak2,8654.166666666668
46,1850,Tak2,8851.674641148325
46,2910,Tak2,13598.130841121496
46,2320,#18,13809.52380952381
46,1699,#18,58788.92733564014
46,637,#18,110590.27777777777
46,2044,#18,59418.604651162794
46,3144,#27,439720.27972027974
46,6532,#27,95357.66423357664
46,7979,#8,25250
46,6386,#8,32748.71794871795
46,5759,#8,29233.502538071065
46,4234,#8,15175.627240143367
48,2785,Tak1,11007.90513833992
48,2931,Tak1,9334.394904458599
48,3177,Tak1,10955.172413793105
48,2420,Tak1,11523.809523809525
48,3306,Tak2,18164.835164835164
48,1974,Tak2,8225
48,1770,Tak2,8468.899522
48,2816,Tak2,13158.878504672897
48,2044,#18,12166.666666666666
48,1498,#18,51833.91003460208
48,561,#18,97395.83333333333
48,1788,#18,51976.74418604651
48,2836,#27,396643.3566433566
